[17:05:17] [INFO] received Windows console close event; shutting log-core down
[17:05:35] [INFO] received Windows console close event; shutting log-core down
[17:05:41] [INFO] received Windows console close event; shutting log-core down
[17:06:17] [INFO] received Windows console close event; shutting log-core down
[17:07:04] [INFO] received Windows console close event; shutting log-core down
[06/13/23 20:58:40] [INFO] received Windows console close event; shutting log-core down
[06/13/23 21:02:43] [INFO] received Windows console close event; shutting log-core down
[06/13/23 21:03:35] [INFO] received Windows console close event; shutting log-core down
[06/13/23 21:07:13] [INFO] received Windows console close event; shutting log-core down
[06/13/23 21:08:21] [INFO] received Windows console close event; shutting log-core down
[09/14/23 21:30:05] [INFO] received Windows console close event; shutting log-core down
[09/14/23 21:31:13] [INFO] received Windows console close event; shutting log-core down
[09/14/23 21:59:30] [INFO] received Windows console close event; shutting log-core down
[09/14/23 22:04:03] [INFO] received Windows console close event; shutting log-core down
[09/14/23 22:12:48] [INFO] received Windows console close event; shutting log-core down
[09/14/23 22:50:07] [INFO] received Windows console close event; shutting log-core down
[09/14/23 22:51:39] [INFO] received Windows console close event; shutting log-core down
[09/15/23 16:10:58] [INFO] received Windows console close event; shutting log-core down
[09/15/23 16:12:50] [INFO] received Windows console close event; shutting log-core down
[09/15/23 16:19:36] [INFO] received Windows console close event; shutting log-core down
[09/16/23 12:53:11] [INFO] received Windows console close event; shutting log-core down
[09/16/23 15:20:55] [INFO] received Windows console close event; shutting log-core down
[09/16/23 15:23:14] [INFO] received Windows console close event; shutting log-core down
[09/16/23 15:27:16] [INFO] received Windows console close event; shutting log-core down
[09/16/23 15:32:16] [INFO] received Windows console close event; shutting log-core down
[09/16/23 16:14:08] [INFO] received Windows console close event; shutting log-core down
[09/16/23 17:46:30] [INFO] received Windows console close event; shutting log-core down
[09/16/23 18:12:11] [INFO] received Windows console close event; shutting log-core down
[09/16/23 18:15:52] [INFO] received Windows console close event; shutting log-core down
[09/16/23 18:21:57] [INFO] received Windows console close event; shutting log-core down
